caso_id,asunto,cuerpo,producto_relacionado,canal,monto_soles,fecha_evento,dificultad,es_simulado
QUEJA_001,Movimiento que no reconozco,Al revisar mi tarjeta vi una compra por S/ 486.90 realizada anoche. Yo no hice esa compra y la tarjeta sigue conmigo. Necesito saber qué debo hacer.,TARJETA_CREDITO,APP,486.90,2026-09-10,FACIL,SI
QUEJA_002,Transferencia a destinatario desconocido,"Esta mañana apareció una transferencia por S/ 1,250 a una cuenta que no conozco. Yo no autoricé esa operación desde la aplicación.",CUENTA_AHORROS,APP,1250.00,2026-09-11,FACIL,SI
QUEJA_003,Retiro y problemas para comunicarme,Encontré un retiro de S/ 600 que no realicé. Llamé dos veces al centro de atención y no lograron indicarme cómo bloquear temporalmente la tarjeta.,TARJETA_DEBITO,CAJERO,600.00,2026-09-12,AMBIGUO,SI
QUEJA_004,Cambio de datos que no solicité,Recibí un aviso indicando que mi número de celular había sido actualizado y minutos después apareció un pago que no reconozco. No solicité ningún cambio de datos.,BANCA_MOVIL,APP,320.00,2026-09-13,MEDIO,SI
QUEJA_005,Dos cargos por una sola compra,"Hice una compra por S/ 180 y reconozco ese consumo, pero aparece un segundo cargo por el mismo importe que yo no autoricé. Quiero que revisen qué ocurrió.",TARJETA_CREDITO,APP,180.00,2026-09-13,AMBIGUO,SI
QUEJA_006,Pago digital desconocido,Veo un pago realizado con una billetera digital vinculada a mi cuenta. Nunca usé esa billetera y no reconozco al comercio.,CUENTA_AHORROS,APP,275.50,2026-09-14,FACIL,SI
QUEJA_007,Compra internacional inesperada,Apareció un consumo en dólares de un comercio del extranjero. No he viajado ni realicé compras internacionales esta semana.,TARJETA_CREDITO,WEB,735.00,2026-09-14,MEDIO,SI
QUEJA_008,Préstamo que no solicité,En la aplicación figura un préstamo desembolsado a mi nombre que no recuerdo haber solicitado. El dinero fue abonado y luego transferido a otra cuenta.,PRESTAMO_PERSONAL,APP,5000.00,2026-09-15,AMBIGUO,SI
QUEJA_009,Operación después de perder el celular,"Perdí mi celular por la tarde y horas después veo una transferencia que no autoricé. Ya recuperé mi línea, pero quiero reportar el movimiento.",BANCA_MOVIL,APP,890.00,2026-09-15,MEDIO,SI
QUEJA_010,Consumos pequeños repetidos,Durante tres días aparecen varios cargos pequeños de S/ 19.90 y S/ 29.90 que no reconozco. La tarjeta siempre estuvo conmigo.,TARJETA_CREDITO,APP,149.40,2026-09-16,MEDIO,SI
