id_empresa,ruc,empresa,sector,departamento,banco_referencia,liquidez,endeudamiento,flujo,historial,clasificacion_sbs,riesgo_esperado,recomendacion_esperada,alerta_kyc,fuente
PER-001,20512345671,AgroPerú SAC,Agroindustria,La Libertad,Banco de Crédito del Perú (BCP),1.8,0.4,Positivo,Bueno,Normal,Bajo,Aprobar,Sin observaciones. Riesgo estacional por fenómeno climático (El Niño).,Guía Oficial Lab (Ejemplo Base)
PER-002,20601234582,TechNova SRL,Tecnología y Software,Lima,Interbank,1.2,0.7,Variable,Regular,Con Problemas Potenciales (CPP),Medio,Evaluar,Bajo riesgo PLAFT. Validar recurrencia de contratos de software en el exterior.,Guía Oficial Lab (Ejemplo Base)
PER-003,20198765433,Minera Andina,Minería,Pasco,BBVA Perú,0.9,0.8,Negativo,Malo,Deficiente,Alto,Rechazar,Alto riesgo PLAFT y ambiental. Exige debida diligencia ampliada de origen de fondos.,Guía Oficial Lab (Ejemplo Base)
PER-004,20455667784,Constructora Andina SAC,Construcción,Cusco,Scotiabank Perú,0.95,0.85,Negativo,Regular,Con Problemas Potenciales (CPP),Alto,Evaluar,Alto riesgo anticorrupción por licitaciones con gobiernos regionales/locales.,Guía Oficial Lab (Caso Reto)
PER-005,20100055237,Alicorp S.A.A.,Consumo Masivo,Callao,Banco de Crédito del Perú (BCP),1.15,0.62,Positivo,Bueno,Normal,Bajo,Aprobar,Empresa corporativa con gobierno corporativo sólido y auditorías internacionales.,BVL / SMV Auditado
PER-006,20170072465,Sociedad Minera Cerro Verde S.A.A.,Minería,Arequipa,Scotiabank Perú,2.1,0.28,Positivo,Bueno,Normal,Bajo,Aprobar,Líder de minería formal de cobre. Alta solidez patrimonial y cumplimiento tributario.,BVL / SMV Auditado
PER-007,20100166578,Petróleos del Perú - Petroperú S.A.,Hidrocarburos y Energía,Lima,Banco de la Nación,0.62,0.92,Negativo,Malo,Dudoso,Alto,Rechazar,Empresa estatal con severa crisis de liquidez y dependencia de rescates fiscales.,BVL / SMV Auditado
PER-008,20100085497,Aenza S.A.A. (ex Graña y Montero),Construcción,Lima,BBVA Perú,0.88,0.82,Variable,Regular,Con Problemas Potenciales (CPP),Alto,Evaluar,Debida diligencia estricta por acuerdos de colaboración eficaz y riesgo reputacional.,BVL / SMV Auditado
PER-009,20100028698,Ferreycorp S.A.A.,Bienes de Capital y Maquinaria,Lima,Banco de Crédito del Perú (BCP),1.45,0.58,Positivo,Bueno,Normal,Bajo,Aprobar,Distribuidor oficial Caterpillar. Excelente récord de pago en RCC SBS.,BVL / SMV Auditado
PER-010,20340584237,Camposol S.A.,Agroindustria,La Libertad,Interbank,1.1,0.74,Variable,Regular,Con Problemas Potenciales (CPP),Medio,Evaluar,Líder agroexportador (arándano/palta). Sensible a precios internacionales y logística.,BVL / SMV Auditado
PER-011,20383045267,Volcan Compañía Minera S.A.A.,Minería,Junín,Banco Santander Perú,0.7,0.88,Negativo,Malo,Deficiente,Alto,Rechazar,Proceso de reestructuración financiera de bonos internacionales y alto apalancamiento.,BVL / SMV Auditado
PER-012,20419387658,Cementos Pacasmayo S.A.A.,Construcción,La Libertad,Banco de Crédito del Perú (BCP),1.52,0.54,Positivo,Bueno,Normal,Bajo,Aprobar,Monopolio regional en el norte peruano con márgenes operativos estables.,BVL / SMV Auditado
PER-013,20100017491,Telefónica del Perú S.A.A.,Telecomunicaciones,Lima,BBVA Perú,0.65,0.95,Negativo,Malo,Deficiente,Alto,Rechazar,Contingencias tributarias millonarias con SUNAT y pérdidas acumuladas.,BVL / SMV Auditado
PER-014,20100070970,Supermercados Peruanos S.A. (Plaza Vea / Vivanda),Comercio y Retail,Lima,Interbank,0.95,0.68,Positivo,Bueno,Normal,Bajo,Aprobar,Flujo de caja comercial muy predecible. Apalancamiento manejable dentro del grupo.,BVL / SMV Auditado
