id_empresa,ruc,empresa,sector,pais,liquidez,endeudamiento,flujo,historial,rating_original,riesgo_esperado,recomendacion_esperada,cumplimiento_kyc_esperado,alerta_kyc_sectorial,origen_dato
EMP-001,20512345671,AgroPerú SAC,Consumo Masivo y Agroindustria,Perú,1.8,0.4,Positivo,Bueno,A,Bajo,Aprobar,Aprobado,Riesgo moderado sensible a estacionalidad climática (Fenómeno El Niño) y exportaciones.,Guía Laboratorio (Ejemplo Base)
EMP-002,20601234582,TechNova SRL,Tecnología y Software,Perú,1.2,0.7,Variable,Regular,BBB,Medio,Evaluar,Aprobado,Bajo riesgo PLAFT. Vigilancia en propiedad intelectual y transacciones transfronterizas.,Guía Laboratorio (Ejemplo Base)
EMP-003,20198765433,Minera Andina,Minería e Industria Pesada,Perú,0.9,0.8,Negativo,Malo,B,Alto,Rechazar,Observado,Alto riesgo PLAFT y ambiental. Exige trazabilidad de origen de fondos y debida diligencia ampliada.,Guía Laboratorio (Ejemplo Base)
EMP-004,20455667784,Constructora Andina SAC,Construcción e Infraestructura,Perú,0.95,0.85,Negativo,Regular,BB,Alto,Evaluar,Observado,Alto riesgo PLAFT y anticorrupción por contratación con el Estado y consorcios.,Guía Laboratorio (Caso Reto)
EMP-005,20500000137,Union Pacific Corporation,Transporte y Logística,Perú,1.05,0.57,Positivo,Bueno,AAA,Medio,Evaluar,Aprobado,Riesgo moderado-alto. Verificación de permisos MTC y prevención de tráfico de contrabando.,Kaggle Corporate Rating (Egan-Jones Ratings Company)
EMP-006,20500000274,Microsoft Corporation,Tecnología y Software,Perú,2.71,0.45,Positivo,Bueno,AAA,Bajo,Aprobar,Aprobado,Bajo riesgo PLAFT. Vigilancia en propiedad intelectual y transacciones transfronterizas.,Kaggle Corporate Rating (Standard & Poor's Ratings Services)
EMP-007,20500000411,Alphabet Inc.,Tecnología y Software,Perú,6.29,0.17,Positivo,Bueno,AA,Bajo,Aprobar,Aprobado,Bajo riesgo PLAFT. Vigilancia en propiedad intelectual y transacciones transfronterizas.,Kaggle Corporate Rating (Moody's Investors Service)
EMP-008,20500000548,Oracle Corporation,Tecnología y Software,Perú,4.13,0.56,Positivo,Bueno,AA,Bajo,Aprobar,Aprobado,Bajo riesgo PLAFT. Vigilancia en propiedad intelectual y transacciones transfronterizas.,Kaggle Corporate Rating (Egan-Jones Ratings Company)
EMP-009,20500000685,"J.B. Hunt Transport Services, Inc.",Transporte y Logística,Perú,0.95,0.64,Positivo,Bueno,AA,Medio,Evaluar,Aprobado,Riesgo moderado-alto. Verificación de permisos MTC y prevención de tráfico de contrabando.,Kaggle Corporate Rating (Egan-Jones Ratings Company)
EMP-010,20500000822,Campbell Soup Company,Consumo Masivo y Agroindustria,Perú,0.68,0.85,Positivo,Bueno,A,Alto,Rechazar,Aprobado,Riesgo moderado sensible a estacionalidad climática (Fenómeno El Niño) y exportaciones.,Kaggle Corporate Rating (Egan-Jones Ratings Company)
EMP-011,20500000959,"Dominion Energy, Inc.",Servicios Públicos y Energía,Perú,0.78,0.79,Positivo,Bueno,A,Medio,Evaluar,Aprobado,Bajo riesgo PLAFT. Alto escrutinio regulatorio y contratos de concesión a largo plazo.,Kaggle Corporate Rating (Egan-Jones Ratings Company)
EMP-012,20500001096,"Autoliv, Inc.",Construcción e Infraestructura,Perú,1.59,0.55,Positivo,Bueno,A,Bajo,Aprobar,Aprobado,Alto riesgo PLAFT y anticorrupción por contratación con el Estado y consorcios.,Kaggle Corporate Rating (Standard & Poor's Ratings Services)
EMP-013,20500001233,Xcel Energy Inc.,Servicios Públicos y Energía,Perú,0.88,0.72,Positivo,Bueno,A,Medio,Evaluar,Aprobado,Bajo riesgo PLAFT. Alto escrutinio regulatorio y contratos de concesión a largo plazo.,Kaggle Corporate Rating (Egan-Jones Ratings Company)
EMP-014,20500001370,Kansas City Southern,Transporte y Logística,Perú,0.71,0.53,Positivo,Regular,BBB,Medio,Evaluar,Aprobado,Riesgo moderado-alto. Verificación de permisos MTC y prevención de tráfico de contrabando.,Kaggle Corporate Rating (Moody's Investors Service)
EMP-015,20500001507,Western Union Company (The),Servicios Diversificados,Perú,2.42,0.89,Positivo,Regular,BBB,Alto,Rechazar,Aprobado,Riesgo moderado. Requiere verificación de giro de negocio específico.,Kaggle Corporate Rating (Moody's Investors Service)
EMP-016,20500001644,NewMarket Corporation,Minería e Industria Pesada,Perú,2.94,0.7,Positivo,Regular,BBB,Medio,Evaluar,Aprobado,Alto riesgo PLAFT y ambiental. Exige trazabilidad de origen de fondos y debida diligencia ampliada.,Kaggle Corporate Rating (Standard & Poor's Ratings Services)
EMP-017,20500001781,"Continental Resources, Inc.",Energía e Hidrocarburos,Perú,0.78,0.67,Positivo,Regular,BBB,Medio,Evaluar,Aprobado,"Riesgo medio-alto por licencias ambientales, canon y regulaciones de OSINERGMIN.",Kaggle Corporate Rating (Standard & Poor's Ratings Services)
EMP-018,20500001918,Colfax Corporation,Construcción e Infraestructura,Perú,1.63,0.57,Positivo,Regular,BB,Medio,Evaluar,Aprobado,Alto riesgo PLAFT y anticorrupción por contratación con el Estado y consorcios.,Kaggle Corporate Rating (Moody's Investors Service)
EMP-019,20500002055,Albemarle Corporation,Minería e Industria Pesada,Perú,1.13,0.66,Positivo,Regular,BB,Medio,Evaluar,Aprobado,Alto riesgo PLAFT y ambiental. Exige trazabilidad de origen de fondos y debida diligencia ampliada.,Kaggle Corporate Rating (Egan-Jones Ratings Company)
EMP-020,20500002192,"Clean Harbors, Inc.",Minería e Industria Pesada,Perú,1.91,0.63,Positivo,Regular,BB,Medio,Evaluar,Aprobado,Alto riesgo PLAFT y ambiental. Exige trazabilidad de origen de fondos y debida diligencia ampliada.,Kaggle Corporate Rating (Standard & Poor's Ratings Services)
EMP-021,20500002329,DaVita Inc.,Salud y Farmacéutica,Perú,1.41,0.74,Positivo,Regular,BB,Medio,Evaluar,Aprobado,Riesgo moderado. Fiscalización regulatoria por DIGEMID y contratos de suministros hospitalarios.,Kaggle Corporate Rating (Egan-Jones Ratings Company)
EMP-022,20500002466,Ciena Corporation,Servicios Públicos y Energía,Perú,2.79,0.77,Positivo,Malo,B,Alto,Rechazar,Observado,Bajo riesgo PLAFT. Alto escrutinio regulatorio y contratos de concesión a largo plazo.,Kaggle Corporate Rating (Egan-Jones Ratings Company)
EMP-023,20500002603,SM Energy Company,Energía e Hidrocarburos,Perú,0.54,0.61,Positivo,Malo,B,Alto,Rechazar,Observado,"Riesgo medio-alto por licencias ambientales, canon y regulaciones de OSINERGMIN.",Kaggle Corporate Rating (Standard & Poor's Ratings Services)
EMP-024,20500002740,"Post Holdings, Inc.",Consumo Masivo y Agroindustria,Perú,2.34,0.7,Positivo,Malo,B,Alto,Rechazar,Observado,Riesgo moderado sensible a estacionalidad climática (Fenómeno El Niño) y exportaciones.,Kaggle Corporate Rating (Standard & Poor's Ratings Services)
EMP-025,20500002877,TriMas Corporation,Construcción e Infraestructura,Perú,1.92,0.82,Positivo,Malo,B,Alto,Rechazar,Observado,Alto riesgo PLAFT y anticorrupción por contratación con el Estado y consorcios.,Kaggle Corporate Rating (Moody's Investors Service)
EMP-026,20500003014,Transocean Ltd.,Energía e Hidrocarburos,Perú,2.57,0.41,Positivo,Malo,CCC,Alto,Rechazar,Observado,"Riesgo medio-alto por licencias ambientales, canon y regulaciones de OSINERGMIN.",Kaggle Corporate Rating (Moody's Investors Service)
