empresa_id,empresa,sector,region,pais,antiguedad_anios,documentacion_legal,beneficiario_final_identificado,origen_fondos,actividad_coherente,coincidencia_lista_restrictiva,pep_relacionado,liquidez,endeudamiento,flujo,historial_crediticio,es_simulado
EMPRESA_001,AgroPerú SAC,AGRICULTURA,ICA,PERU,12,COMPLETA,SI,DECLARADO,SI,NO,NO,1.8,0.4,POSITIVO,BUENO,SI
EMPRESA_002,TechNova SRL,TECNOLOGIA,LIMA,PERU,5,COMPLETA,SI,PARCIAL,SI,NO,NO,1.2,0.7,VARIABLE,REGULAR,SI
EMPRESA_003,Minera Andina,MINERIA,AREQUIPA,PERU,15,INCOMPLETA,SI,PARCIAL,SI,NO,SI,0.9,0.8,NEGATIVO,MALO,SI
EMPRESA_004,Constructora Andina SAC,CONSTRUCCION,LIMA,PERU,9,INCOMPLETA,SI,PARCIAL,SI,NO,NO,0.95,0.85,NEGATIVO,REGULAR,SI
EMPRESA_005,Pesquera Costa Azul SAC,PESCA,PIURA,PERU,18,COMPLETA,SI,DECLARADO,SI,NO,NO,1.55,0.48,POSITIVO,REGULAR,SI
EMPRESA_006,Textiles Qori SAC,TEXTIL,CUSCO,PERU,7,COMPLETA,SI,DECLARADO,SI,NO,NO,1.35,0.62,VARIABLE,BUENO,SI
EMPRESA_007,Logística Pacífico Sur SAC,TRANSPORTE,CALLAO,PERU,11,COMPLETA,SI,PARCIAL,SI,NO,NO,1.1,0.74,POSITIVO,REGULAR,SI
EMPRESA_008,Alimentos Sierra Verde SAC,ALIMENTOS,JUNIN,PERU,14,COMPLETA,SI,DECLARADO,SI,NO,NO,1.72,0.36,POSITIVO,BUENO,SI
EMPRESA_009,Comercial Misti SRL,COMERCIO,AREQUIPA,PERU,6,COMPLETA,SI,DECLARADO,SI,NO,NO,1.42,0.58,VARIABLE,REGULAR,SI
EMPRESA_010,Turismo Inti Perú SAC,TURISMO,CUSCO,PERU,8,INCOMPLETA,SI,DECLARADO,SI,NO,NO,0.82,0.77,NEGATIVO,REGULAR,SI
EMPRESA_011,Energía Solar del Norte SAC,ENERGIA,LA LIBERTAD,PERU,10,COMPLETA,SI,DECLARADO,SI,NO,SI,1.6,0.52,POSITIVO,BUENO,SI
EMPRESA_012,Servicios Amazónicos EIRL,SERVICIOS,LORETO,PERU,4,COMPLETA,SI,PARCIAL,NO,NO,NO,1.25,0.66,VARIABLE,REGULAR,SI
EMPRESA_013,Exportadora Valle Sagrado SAC,AGROEXPORTACION,ICA,PERU,13,COMPLETA,SI,DECLARADO,SI,NO,NO,1.88,0.43,POSITIVO,BUENO,SI
EMPRESA_014,Manufacturas Mantaro SAC,MANUFACTURA,JUNIN,PERU,16,COMPLETA,SI,PARCIAL,SI,NO,NO,1.05,0.69,NEGATIVO,BUENO,SI
EMPRESA_015,Distribuciones Titicaca SAC,COMERCIO,PUNO,PERU,3,INCOMPLETA,NO,NO_DECLARADO,SI,NO,NO,1.39,0.71,NEGATIVO,BUENO,SI
